[rosmaster.main][INFO] 2024-11-17 14:45:13,223: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-11-17 14:45:13,223: Starting ROS Master Node
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/wait_for_device_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/fisheye2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/fisheye_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/enable_fisheye2] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/enable_fisheye1] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/accel_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/serial_no] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/fisheye1_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,268: +PARAM [/camera/realsense2_camera/allow_no_texture_points] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/infra1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/json_file_path] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/enable_accel] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/enable_sync] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/fisheye2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/depth_width] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/enable_pose] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/infra_fps] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/confidence_width] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/infra1_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/infra_width] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/infra_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,269: +PARAM [/camera/realsense2_camera/stereo_module/exposure/2] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/aligned_depth_to_color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/stereo_module/exposure/1] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/device_type] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/calib_odom_file] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/aligned_depth_to_infra1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/color_fps] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/infra_rgb] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/confidence_fps] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/linear_accel_cov] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,270: +PARAM [/camera/realsense2_camera/aligned_depth_to_fisheye1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,271: +PARAM [/camera/realsense2_camera/topic_odom_in] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,271: +PARAM [/camera/realsense2_camera/stereo_module/gain/1] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,271: +PARAM [/camera/realsense2_camera/stereo_module/gain/2] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,271: +PARAM [/camera/realsense2_camera/initial_reset] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,272: +PARAM [/camera/realsense2_camera/fisheye_width] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,272: +PARAM [/camera/realsense2_camera/align_depth] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,272: +PARAM [/camera/realsense2_camera/enable_confidence] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,272: +PARAM [/camera/realsense2_camera/enable_infra] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,273: +PARAM [/camera/realsense2_camera/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,273: +PARAM [/camera/realsense2_camera/aligned_depth_to_fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,273: +PARAM [/camera/realsense2_camera/accel_fps] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,273: +PARAM [/camera/realsense2_camera/unite_imu_method] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,274: +PARAM [/camera/realsense2_camera/gyro_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,274: +PARAM [/camera/realsense2_camera/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,274: +PARAM [/camera/realsense2_camera/gyro_fps] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,275: +PARAM [/camera/realsense2_camera/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,275: +PARAM [/camera/realsense2_camera/infra2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,275: +PARAM [/camera/realsense2_camera/aligned_depth_to_fisheye2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,275: +PARAM [/camera/realsense2_camera/pointcloud_texture_stream] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/color_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/publish_odom_tf] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/pose_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/enable_color] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/accel_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/rosbag_filename] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/tf_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/enable_fisheye] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/enable_infra1] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/enable_infra2] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/filters] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/infra2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/pose_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/reconnect_timeout] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/gyro_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,276: +PARAM [/camera/realsense2_camera/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/camera/realsense2_camera/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/camera/realsense2_camera/depth_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/camera/realsense2_camera/aligned_depth_to_infra2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/camera/realsense2_camera/fisheye1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/camera/realsense2_camera/enable_gyro] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/camera/realsense2_camera/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,277: +PARAM [/camera/realsense2_camera/clip_distance] by /roslaunch
[rosmaster.master][INFO] 2024-11-17 14:45:18,367: +PUB [/rosout] /camera/realsense2_camera http://uav1-Default-string:36117/
[rosmaster.master][INFO] 2024-11-17 14:45:18,367: +SERVICE [/camera/realsense2_camera/get_loggers] /camera/realsense2_camera http://uav1-Default-string:36117/
[rosmaster.master][INFO] 2024-11-17 14:45:18,368: +SERVICE [/camera/realsense2_camera/set_logger_level] /camera/realsense2_camera http://uav1-Default-string:36117/
[rosmaster.master][INFO] 2024-11-17 14:45:18,369: +CACHEDPARAM [/rosout_disable_topics_generation] by /camera/realsense2_camera
[rosmaster.master][INFO] 2024-11-17 14:45:18,373: +PARAM [/camera/realsense2_camera] by /camera/realsense2_camera
[rosmaster.master][INFO] 2024-11-17 14:45:18,380: +PUB [/rosout] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,381: +SERVICE [/camera/realsense2_camera_manager/get_loggers] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,381: +SERVICE [/camera/realsense2_camera_manager/set_logger_level] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,382: +CACHEDPARAM [/rosout_disable_topics_generation] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,383: +SERVICE [/camera/realsense2_camera_manager/load_nodelet] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,383: +SERVICE [/camera/realsense2_camera_manager/unload_nodelet] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,384: +SERVICE [/camera/realsense2_camera_manager/list] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,432: publisherUpdate[/rosout] -> http://uav1-Default-string:44401/ ['http://uav1-Default-string:42659/', 'http://uav1-Default-string:36117/']
[rosmaster.master][INFO] 2024-11-17 14:45:18,433: publisherUpdate[/rosout] -> http://uav1-Default-string:44401/ ['http://uav1-Default-string:42659/', 'http://uav1-Default-string:36117/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-11-17 14:45:18,433: publisherUpdate[/rosout] -> http://uav1-Default-string:44401/ ['http://uav1-Default-string:42659/', 'http://uav1-Default-string:36117/', 'http://uav1-Default-string:38655/']
[rosmaster.master][INFO] 2024-11-17 14:45:18,434: publisherUpdate[/rosout] -> http://uav1-Default-string:44401/ ['http://uav1-Default-string:42659/', 'http://uav1-Default-string:36117/', 'http://uav1-Default-string:38655/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2024-11-17 14:45:18,456: +PUB [/camera/realsense2_camera_manager/bond] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,457: +SUB [/camera/realsense2_camera_manager/bond] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,468: +SERVICE [/camera/enable] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,470: +SERVICE [/camera/realsense2_camera/reset] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,535: +PUB [/camera/realsense2_camera_manager/bond] /camera/realsense2_camera http://uav1-Default-string:36117/
[rosmaster.master][INFO] 2024-11-17 14:45:18,535: publisherUpdate[/camera/realsense2_camera_manager/bond] -> http://uav1-Default-string:38655/ ['http://uav1-Default-string:38655/', 'http://uav1-Default-string:36117/']
[rosmaster.master][INFO] 2024-11-17 14:45:18,537: +PUB [/tf_static] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,542: +PUB [/tf] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,543: publisherUpdate[/camera/realsense2_camera_manager/bond] -> http://uav1-Default-string:38655/ ['http://uav1-Default-string:38655/', 'http://uav1-Default-string:36117/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2024-11-17 14:45:18,547: +SUB [/camera/realsense2_camera_manager/bond] /camera/realsense2_camera http://uav1-Default-string:36117/
[rosmaster.master][INFO] 2024-11-17 14:45:18,720: +PUB [/camera/stereo_module/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,722: +PUB [/camera/stereo_module/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,724: +SERVICE [/camera/stereo_module/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,759: +PUB [/camera/rgb_camera/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,760: +PUB [/camera/rgb_camera/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,761: +SERVICE [/camera/rgb_camera/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,767: +PUB [/camera/motion_module/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,768: +PUB [/camera/motion_module/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,768: +SERVICE [/camera/motion_module/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,770: +PUB [/camera/align_to_color/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,771: +PUB [/camera/align_to_color/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,771: +SERVICE [/camera/align_to_color/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,778: +PUB [/diagnostics] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,780: +CACHEDPARAM [/camera/realsense2_camera_manager/diagnostic_period] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,788: +PUB [/camera/depth/image_rect_raw/compressedDepth] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,789: +SERVICE [/camera/depth/image_rect_raw/compressedDepth/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,790: +PUB [/camera/depth/image_rect_raw/compressedDepth/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,791: +PUB [/camera/depth/image_rect_raw/compressedDepth/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,794: +PARAM [/camera/depth/image_rect_raw/compressedDepth/depth_max] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,795: +PARAM [/camera/depth/image_rect_raw/compressedDepth/depth_quantization] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,796: +PARAM [/camera/depth/image_rect_raw/compressedDepth/png_level] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,797: +PARAM [/camera/depth/image_rect_raw/compressedDepth/depth_max] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,799: +PARAM [/camera/depth/image_rect_raw/compressedDepth/depth_quantization] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,800: +PARAM [/camera/depth/image_rect_raw/compressedDepth/png_level] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,808: +PUB [/camera/depth/image_rect_raw/compressed] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,809: +SERVICE [/camera/depth/image_rect_raw/compressed/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,811: +PUB [/camera/depth/image_rect_raw/compressed/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,812: +PUB [/camera/depth/image_rect_raw/compressed/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,817: +PARAM [/camera/depth/image_rect_raw/compressed/format] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,818: +PARAM [/camera/depth/image_rect_raw/compressed/jpeg_quality] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,819: +PARAM [/camera/depth/image_rect_raw/compressed/png_level] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,821: +PARAM [/camera/depth/image_rect_raw/compressed/format] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,822: +PARAM [/camera/depth/image_rect_raw/compressed/jpeg_quality] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,824: +PARAM [/camera/depth/image_rect_raw/compressed/png_level] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,827: +PUB [/camera/depth/image_rect_raw] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,833: +PUB [/camera/depth/image_rect_raw/theora] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,834: +SERVICE [/camera/depth/image_rect_raw/theora/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,835: +PUB [/camera/depth/image_rect_raw/theora/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,835: +PUB [/camera/depth/image_rect_raw/theora/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,838: +PARAM [/camera/depth/image_rect_raw/theora/optimize_for] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,838: +PARAM [/camera/depth/image_rect_raw/theora/target_bitrate] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,839: +PARAM [/camera/depth/image_rect_raw/theora/quality] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,839: +PARAM [/camera/depth/image_rect_raw/theora/keyframe_frequency] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,840: +PARAM [/camera/depth/image_rect_raw/theora/optimize_for] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,840: +PARAM [/camera/depth/image_rect_raw/theora/target_bitrate] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,841: +PARAM [/camera/depth/image_rect_raw/theora/quality] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,842: +PARAM [/camera/depth/image_rect_raw/theora/keyframe_frequency] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 2024-11-17 14:45:18,842: +PUB [/camera/depth/camera_info] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,843: +PUB [/camera/depth/metadata] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,844: +PUB [/camera/color/image_raw/compressedDepth] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,844: +SERVICE [/camera/color/image_raw/compressedDepth/set_parameters] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,845: +PUB [/camera/color/image_raw/compressedDepth/parameter_descriptions] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,846: +PUB [/camera/color/image_raw/compressedDepth/parameter_updates] /camera/realsense2_camera_manager http://uav1-Default-string:38655/
[rosmaster.master][INFO] 2024-11-17 14:45:18,847: +PARAM [/camera/color/image_raw/compressedDepth/depth_max] by /camera/realsense2_camera_manager
